Agent_ID,Month,Inventory_Coin,Inventory_Products,Consumption_Coin,Consumption_Products,Income_Coin,Income_Products,Endogenous
0,0,0,0,0,0,0,0,"{""Consumption Rate"": 0.5, ""Investment Rate"": 0.5, ""Labor"": 0, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Unemployment"", ""previous_job"": ""Unemployment"", ""offer"": ""Cashier""}"
0,1,2596.673623986489,0,3895.010435979733,28.44840456156348,0,0,"{""Consumption Rate"": 0.6, ""Investment Rate"": 0.5, ""Labor"": 0, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Unemployment"", ""previous_job"": ""Unemployment"", ""offer"": ""Optometrist""}"
0,2,4997.431058184463,27.9754071125281,4997.431058184463,36.66740116371534,1216.1182274264308,0,"{""Consumption Rate"": 0.5, ""Investment Rate"": 0.5, ""Labor"": 168, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Optometrist"", ""previous_job"": ""Unemployment"", ""offer"": ""Optometrist""}"
0,3,5384.279798504948,45.76196400804966,6320.676285201463,46.592162655529116,1210.6207725153793,0,"{""Consumption Rate"": 0.54, ""Investment Rate"": 0.5, ""Labor"": 168, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Optometrist"", ""previous_job"": ""Optometrist"", ""offer"": ""Optometrist""}"
0,4,3375.0042761570267,49.83613870757894,5062.5064142355395,38.270958819607344,1208.0758583538982,0,"{""Consumption Rate"": 0.6, ""Investment Rate"": 0.5, ""Labor"": 168, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Optometrist"", ""previous_job"": ""Optometrist"", ""offer"": ""Optometrist""}"
0,5,3192.1903683905434,35.733913815002175,3747.353910719334,29.278807940378552,1198.5296584429325,0,"{""Consumption Rate"": 0.54, ""Investment Rate"": 0.5, ""Labor"": 168, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Optometrist"", ""previous_job"": ""Optometrist"", ""offer"": ""Optometrist""}"
0,6,3186.394099825565,34.89640073866477,4779.591149738347,38.13710700270285,1181.2543220109615,0,"{""Consumption Rate"": 0.6, ""Investment Rate"": 0.5, ""Labor"": 168, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Optometrist"", ""previous_job"": ""Optometrist"", ""offer"": ""Optometrist""}"
0,7,3058.5561601090367,34.89640073866477,5437.433173527176,43.46870038117843,1181.2543220109615,0,"{""Consumption Rate"": 0.64, ""Investment Rate"": 0.5, ""Labor"": 168, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Unemployment"", ""previous_job"": ""Optometrist"", ""offer"": ""Podiatrist""}"
0,8,1998.1138164128834,34.89640073866477,4662.265571630062,38.28772409943566,1181.2543220109615,0,"{""Consumption Rate"": 0.7000000000000001, ""Investment Rate"": 0.5, ""Labor"": 168, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Unemployment"", ""previous_job"": ""Unemployment"", ""offer"": ""Professional Athlete""}"
0,9,2641.2139100465956,25.970929344316847,4695.491395638393,38.80925008287783,1144.0823098341841,0,"{""Consumption Rate"": 0.64, ""Investment Rate"": 0.5, ""Labor"": 168, ""Saving Rate"": 0, ""age"": 38, ""name"": ""Ella Howard"", ""city"": ""New York City"", ""education"": ""Graduate"", ""job"": ""Professional Athlete"", ""previous_job"": ""Unemployment"", ""offer"": ""Professional Athlete""}"
